drawNo,date,n1,n2,n3,n4,n5,n6,s1,s2
4541,2025-01-25,12,8,34,15,28,21,3,44
4543,2025-02-01,12,8,18,7,41,1,16,32
4545,2025-02-08,42,6,15,35,40,25,38,20
4547,2025-02-15,18,41,8,19,31,43,9,11
4549,2025-02-22,5,39,26,2,28,31,7,8
4551,2025-03-01,13,11,37,12,3,6,44,2
4553,2025-03-08,28,18,38,2,16,29,25,4
4555,2025-03-15,3,27,30,15,16,13,19,33
4557,2025-03-22,16,11,42,34,29,45,14,18
4559,2025-03-29,36,3,17,1,21,41,24,30
4561,2025-04-05,3,42,43,10,27,23,6,18
4563,2025-04-12,45,3,22,17,13,6,29,31
4565,2025-04-19,28,10,44,21,19,14,33,23
4567,2025-04-26,38,42,32,1,21,7,24,13
4569,2025-05-03,30,29,16,34,43,27,40,2
4571,2025-05-10,1,35,18,25,45,38,4,16
4573,2025-05-17,31,40,44,37,9,19,5,11
4575,2025-05-24,13,36,5,37,33,35,18,10
4577,2025-05-31,5,45,23,27,7,9,36,13
4579,2025-06-07,30,26,11,22,36,13,24,45
4581,2025-06-14,1,28,19,6,17,10,35,14
4583,2025-06-21,6,24,10,42,1,30,18,16
4585,2025-06-28,39,41,44,32,21,34,22,16
4587,2025-07-05,13,6,14,19,4,17,11,1
4589,2025-07-12,36,9,37,35,23,29,20,31
4591,2025-07-19,7,42,36,17,15,22,34,9
4593,2025-07-26,17,23,40,42,44,2,27,39
4595,2025-08-02,24,40,43,21,45,1,16,9
4597,2025-08-09,45,4,10,40,41,14,3,6
4599,2025-08-16,23,6,38,1,15,18,32,24
4601,2025-08-23,44,28,10,45,2,33,8,26
4603,2025-08-30,10,28,5,4,9,36,2,14
4605,2025-09-06,43,6,21,10,42,16,23,36
4607,2025-09-13,31,13,18,15,2,40,36,26
4609,2025-09-20,27,10,5,38,25,26,34,15
4611,2025-09-27,25,16,37,4,14,29,10,6
4613,2025-10-04,42,3,32,10,2,16,35,11
4615,2025-10-11,43,21,37,33,32,9,17,30
4617,2025-10-18,18,38,32,19,7,10,43,28
4619,2025-10-25,14,13,41,29,23,40,17,1
4621,2025-11-01,42,31,21,28,17,13,36,15
4623,2025-11-08,28,13,1,41,14,16,39,34
4625,2025-11-15,36,19,33,41,39,1,25,20
4627,2025-11-22,7,31,15,39,42,12,5,8
4629,2025-11-29,22,10,17,5,44,36,3,11
4631,2025-12-06,17,42,5,10,33,45,31,44
4633,2025-12-13,28,20,35,17,32,6,41,25
4635,2025-12-20,8,32,31,19,43,41,14,6
4637,2025-12-27,26,20,40,3,5,28,22,42
4639,2026-01-03,19,36,21,10,9,13,39,2
4641,2026-01-10,23,1,41,8,30,25,32,37
4643,2026-01-17,38,8,35,19,44,9,23,33
4645,2026-01-24,29,24,22,33,28,8,27,19
4647,2026-01-31,20,45,42,9,34,33,29,7
4649,2026-02-07,8,9,33,27,3,41,25,15
4651,2026-02-14,12,7,3,6,14,22,43,20
4653,2026-02-21,43,4,26,42,30,11,29,27
4655,2026-02-28,21,13,44,31,7,35,30,34
4657,2026-03-07,24,35,33,36,16,17,6,19
4659,2026-03-14,34,21,40,14,36,27,5,33
4661,2026-03-21,27,20,11,16,45,43,39,22
4663,2026-03-28,30,25,2,1,3,29,17,15
4665,2026-04-04,2,4,13,5,14,37,21,22
4667,2026-04-11,15,44,32,33,8,11,35,41
4669,2026-04-18,8,41,3,18,39,40,32,13
4671,2026-04-25,45,12,17,3,11,14,32,21
4673,2026-05-02,29,19,18,45,34,9,28,8
4675,2026-05-09,12,11,2,33,37,17,36,41
4677,2026-05-16,32,10,3,39,33,23,42,37
4679,2026-05-23,31,11,20,28,40,19,39,1
4681,2026-05-30,12,10,8,36,19,28,5,3
4683,2026-06-06,10,31,44,30,43,25,4,38
4685,2026-06-13,16,31,43,12,40,30,25,26
4687,2026-06-20,22,14,6,21,9,3,38,20
